block,ref,part,package,qty,notes,decided
power,J_PWR,XT30 male socket,THT,1,DC input 24V,no
power,D_REV,SI4435DY (P-MOSFET),SO-8,1,reverse polarity protection,no
power,F1,Polyfuse 5A,1812,1,resettable,no
power,TVS_IN,SMBJ33A,SMB,1,input transient,no
power,U_BUCK,TPS54360DDA,SO-8 PowerPad,1,24V->5V 3.5A,no
power,U_LDO,AMS1117-3.3,SOT-223,1,5V->3.3V,no
power,C_BULK,100uF 50V,radial,2,bulk input,no
power,LED_PWR,green 0603,0603,1,3v3 indicator,no
mcu,U1,STM32G474RET6,LQFP64,1,main MCU - confirm with user,no
mcu,Y1,8 MHz crystal,HC-49S-SMD,1,HSE,no
mcu,SW_RST,tactile button,6x6,1,NRST,no
mcu,J_SWD,2x5 1.27mm header,SMD,1,Cortex-Debug,no
comms,U_CAN,TCAN1462DR,SO-8,1,CAN-FD transceiver,no
comms,J_CAN,JST-XH 4pin,THT,1,CAN bus + power tap,no
comms,R_TERM,120 ohm + jumper,0805,1,bus terminator,no
comms,J_JETSON,JST-GH 4pin,SMD,1,UART to Jetson,no
sensor,U_IMU,BNO055,LGA-28,1,UART mode,no
sensor,U_LC1,HX711,SOP-16,2,loadcell ADC,no
sensor,J_LC,JST-XH 4pin,THT,2,loadcell harness,no
sensor,U_ENC,AS5048A,TSSOP-14,2,SPI absolute encoder,no
sensor,U_ISENSE,INA240A1,VSSOP-8,2,motor current sense,no
sensor,RT1,NTC 10k,0603,2,motor temperature,no
ui,LED_RGB,common cathode RGB,PLCC4,1,status,no
ui,LED_SYNC,blue 0603,0603,1,sync,no
ui,SW_USER,tactile,6x6,1,user button,no
storage,J_SD,microSD push-push,SMD,1,SPI/SDIO,no
protection,TVS_CAN,PESD1CAN,SOT-23,1,CAN ESD,no
motor_if,Q_EN,N-MOSFET logic,SOT-23,1,motor power gate (TBD),no
