block,ref,part,package,qty,source,notes
power,J_PWR_IN,XT60PW (PCB mount),SMD/THT hybrid,1,Amass,DC input 30A continuous - motor power passes through
power,J_PWR_M1,XT60PW (PCB mount),SMD/THT hybrid,1,Amass,Motor 1 output 30A safety margin (sized up since board shrunk to 50x50 6L)
power,J_PWR_M2,XT60PW (PCB mount),SMD/THT hybrid,1,Amass,Motor 2 output 30A safety margin
power,U_EFUSE,LTC4368-1IMS,MSOP-12,1,Analog Devices,eFuse controller 0-80V latch mode - OVP/UVLO/RVP/OCP/inrush
power,Q_EFUSE,IPB180N06S4-02,TO-263,1,Infineon,N-MOSFET 60V 180A 2.7mOhm - eFuse pass element
power,F1_BACKUP,ATM mini-blade fuse holder + 30A blade,THT,1,Littelfuse,backup replaceable fuse
power,L_CHOKE,Wurth 7443631400 (60A),SMD,1,Wurth,EMI common-mode choke 60A rated
power,TVS_IN,SMCJ58A,SMC,1,Littelfuse,1500W TVS for inductive kickback
power,C_BULK_HV,470uF/63V Al-polymer,SMD 10mm,4,Panasonic,motor power bulk - regen + inrush
power,C_CER_HV,22uF/63V X7R,1210,4,Murata,ceramic bulk distributed
power,C_Y,1nF 1kV ceramic Y-cap,1812,2,Murata,line-to-GND CM noise
power,R_SHUNT_IN,Susumu CSS2H 1mOhm 2W,2512,1,Susumu,battery current measurement (CONFIRMED)
power,U_INA,INA228IDGSR,VSSOP-10,1,TI,battery monitor 85V 16-bit V/I/P + coulomb counter
power,J_BATT_NTC,JST-GH 2pin,SMD,1,JST,battery temperature NTC input
power,R_NTC_PUP,10k,0402,1,common,battery NTC pull-up
power,U_BUCK,TPS62933PDQNR,SOT583,1,TI,24/48V->5V 2.5MHz 2A - taps off motor rail
power,L_BUCK,XAL4040-222,SMD 4x4,1,Coilcraft,2.2uH for TPS62933
power,FB_BUCK_IN,ferrite bead 1A,0805,1,Murata,isolate buck input from motor noise
power,U_LDO_D,TLV75533PDBVR,SOT-23-5,1,TI,5V->3V3 digital
power,U_LDO_A,TLV75533PDBVR,SOT-23-5,1,TI,5V->3V3 analog (ferrite isolated)
power,FB_AVDD,BLM18PG471,0603,1,Murata,analog 3V3 ferrite
power,LED_PWR,green 0603,0603,1,common,3v3 indicator
power,LED_VIN,red 0603,0603,1,common,VIN indicator
mcu,U1,STM32H723VGT6,LQFP100 14x14,1,ST,CONFIRMED main MCU - compact + USB HS internal PHY
mcu,Y1,25MHz crystal HC-49SMD,3225,1,common,HSE for USB HS
mcu,Y2,32.768kHz crystal,3215,1,Abracon,LSE optional
mcu,SW_RST,tactile button 6x6,THT,1,common,NRST
mcu,J_SWD,Cortex 10-pin 1.27mm,SMD,1,Samtec,SWD+SWO
mcu,SW_BOOT,jumper 2.54,2.54,1,common,BOOT0 selector
comms_can,U_CAN,TCAN1462DR,SO-8,1,TI,CAN-FD 5Mbps
comms_can,J_CAN,JST-GH 5pin,SMD,1,JST,CAN_H/L/GND/SHLD/+V (1.25mm pitch compact)
comms_can,R_TERM,120 ohm 0805,0805,1,common,terminator (jumper)
comms_can,TVS_CAN,PESD2CAN,SOT-23,1,Nexperia,ESD
comms_can,U_OPTO,PC817,DIP-4,1,Sharp,Estop input isolation
comms_usb,J_USB,USB-C 16pin receptacle,SMD,1,GCT USB4105,Type-C HS / DFU debug
comms_jetson,J_JETSON_UART,JST-GH 4pin,SMD,1,JST,Jetson UART (TX/RX/GND/3V3) - primary downlink
comms_jetson,J_SYNC,JST-GH 3pin,SMD,1,JST,HW sync MCU<->Jetson (SYNC_OUT/SYNC_IN/GND)
comms_usb,U_ESD_USB,TPD4S012DBVR,SOT-23-6,1,TI,USB ESD
comms_uart,J_EBIMU,JST-GH 4pin,SMD,1,JST,EBIMU receiver UART
wireless,U_ESP,ESP32-C3-MINI-1U,module,1,Espressif,CONFIRMED IPEX external antenna (better for wearable)
wireless,J_ANT,IPEX MHF1 cable + 2.4GHz dipole antenna,external,1,common,external antenna assembly
wireless,J_ESP_DBG,JST-GH 6pin,SMD,1,JST,ESP32 programming/debug UART
wireless,SW_ESP_BOOT,tactile 4x4,SMD,1,common,ESP32 BOOT button
wireless,LED_BLE,blue 0603,0603,1,common,BLE/WiFi status
wireless,C_ESP_BULK,22uF/10V tantalum,1206,1,Kemet,ESP32 TX peak current
wireless,U_ESP_LDO,TLV75533PDBVR,SOT-23-5,1,TI,dedicated 3V3 for ESP32 (optional)
sensor_loadcell,U_LCADC,ADS131M04IPBSR,TQFP-32,1,TI,24bit 32kSPS 4ch SPI
sensor_loadcell,U_REF,REF5025AIDR,SO-8,1,TI,2.5V precision ref
sensor_loadcell,J_LC,JST-GH 4pin,SMD,2,JST,loadcell harness E+/-/S+/- compact
sensor_enc,U_ENC,AS5048A,TSSOP-14,2,ams,SPI absolute encoder
sensor_enc,J_ENC,JST-GH 6pin,SMD,2,JST,encoder harness
sensor_isense,U_INA,INA240A1DR,VSSOP-8,2,TI,bidirectional current sense
sensor_isense,R_SHUNT,0.5 mOhm 2W,2512,2,Susumu,shunt
sensor_temp,RT_NTC,NTC 10k B3950,0603,2,TDK,motor temp
storage,J_SD,microSD push-push,SMD,1,Hirose DM3AT,SDMMC 4-bit
ui,LED_RGB,APA102C or PWM RGB,5050,1,common,status LED
ui,LED_SYNC,blue 0603,0603,1,common,sync pulse
ui,SW_USER,tactile,6x6,1,common,user button
ui,J_ESTOP,JST-GH 2pin,SMD,1,JST,external NC mushroom button input
estop,U_AND,74LVC1G08GW,SOT-353,1,Nexperia,AND gate - HW motor enable cut on E-stop
estop,R_PUP_ESTOP,10k,0402,1,common,E-stop pull-up
estop,C_DBNC_ESTOP,10nF,0402,1,common,E-stop debounce
estop,R_SER_ESTOP,1k,0402,1,common,E-stop series limit
estop,LED_ESTOP,red 0603,0603,1,common,E-stop status indicator
estop,SW_RST_ESTOP,tactile 4x4,SMD,1,common,E-stop latch reset (if latch used)
estop,U_LATCH,74LVC1G373DCK,SC-70,1,Nexperia,(optional) E-stop latch - keeps motor disabled until reset
debug,J_VCP,JST-GH 4pin,SMD,1,JST,UART debug fallback
